,cluster
130901,5
242358,1
235807,5
234253,3
154218,1
141267,0
202992,3
41338,4
31423,5
97923,5
192504,4
20430,3
153988,1
92347,0
290461,3
283635,1
105369,5
231717,5
138682,5
146366,4
200988,7
135410,6
1558,8
131290,2
162166,2
237094,4
251114,7
100457,4
94778,3
142119,6
52370,6
230866,8
261308,3
80103,5
55539,1
120689,8
83141,0
172675,5
274194,4
38048,5
190621,2
222979,5
235744,5
191898,7
98974,2
108925,0
160224,1
219750,1
237836,6
147570,6
279116,7
149004,1
114632,0
252317,0
90561,7
14146,5
129791,1
5537,2
236461,7
133096,4
175927,6
37636,1
205837,0
154575,5
171830,8
255330,0
93670,6
87670,5
45365,1
69660,6
280132,6
249898,1
284457,7
260090,2
255651,6
43107,3
210749,4
22275,1
19408,6
279111,7
77873,3
171657,8
42613,6
72827,5
249831,1
160272,1
77169,6
273225,1
66627,7
148973,8
240359,7
150770,7
207767,8
7802,4
132923,7
47767,2
124563,7
282984,6
149378,1
240893,0
178090,5
272129,0
172551,1
182655,1
274368,0
229938,6
91401,4
145790,7
141147,0
149289,1
204302,5
104933,1
230838,8
221328,0
267914,8
166808,1
73846,2
71457,8
215233,0
156245,7
4314,5
286999,4
60828,6
55218,1
228647,4
102782,3
281432,5
69152,0
99391,7
102726,6
43355,3
92599,0
179956,0
172892,5
251510,7
103298,3
278516,5
31971,2
120979,8
69081,0
268793,2
862,3
246152,1
163438,4
73923,2
100900,4
177095,8
62365,3
169820,0
175799,6
243253,2
23981,5
133540,4
175796,6
292898,0
156156,7
200664,7
224549,0
134309,0
92148,0
158176,6
249386,8
228710,4
197869,3
111213,1
69169,0
288407,1
80493,5
371,3
212818,8
48681,7
125456,4
293230,6
77128,6
169636,0
85944,8
52723,6
288378,1
24677,2
289242,7
144637,5
124538,7
193163,0
198109,3
161526,5
203874,1
283860,5
4303,5
256431,8
190930,2
106749,7
9086,6
205656,4
288936,2
164253,0
143098,3
169562,0
234346,3
73093,5
2563,1
251165,7
296343,8
214465,7
125941,0
185993,0
228695,4
194461,8
69725,6
85602,8
123207,5
226614,1
49714,4
91746,4
181396,8
59663,4
232220,2
120742,8
64245,1
197975,3
169349,4
27199,0
235839,5
287701,3
247796,4
20862,3
48646,7
110951,1
248974,3
3788,5
133448,4
21262,8
291679,5
240753,4
250050,1
222589,1
231143,1
276445,7
286095,5
281677,2
109711,3
95680,8
264294,3
106656,2
129049,8
63763,1
223074,5
137195,1
108516,0
206576,6
180387,6
262518,5
144278,1
173670,2
280487,3
125235,4
17209,4
24443,2
208247,1
212116,3
156335,7
40861,4
171490,8
134995,6
16926,4
157959,6
113911,4
297502,4
97846,5
192568,4
180460,6
140201,7
137097,1
212815,8
95531,8
24477,2
124079,2
144448,5
228408,4
74856,7
208065,1
17074,4
92744,0
36872,1
146554,4
86904,1
277608,8
218883,6
5297,2
283904,5
82520,4
7033,4
264687,8
243308,2
31621,5
283334,8
5748,7
121202,8
20763,3
45688,1
225468,3
140993,4
172944,5
138889,2
105883,5
160603,1
130778,5
173208,5
22105,1
43693,3
122187,1
97072,5
258277,4
222068,3
76802,6
218703,0
166801,1
150709,7
143786,1
90939,4
7794,4
289938,0
168100,2
143672,1
198629,8
226605,1
101753,0
33497,4
194049,3
104362,1
201387,4
38953,2
21938,8
131915,2
185005,7
19581,6
112760,2
221979,3
236084,2
93581,6
181238,8
195053,1
134184,0
68497,0
194862,1
177106,8
285496,3
273783,2
13571,5
69499,6
167223,5
110228,3
188641,8
278497,5
248521,6
277566,3
189296,1
44085,8
165126,6
124238,7
145124,2
242360,1
123396,2
89107,2
143242,8
260699,4
206953,3
239572,5
107108,7
56478,5
140230,7
25176,7
164647,0
202241,6
245082,3
241029,0
109586,6
17415,4
184453,7
96144,1
266524,4
265592,2
20073,6
98254,2
139941,7
212586,8
196327,7
262957,7
259375,8
205757,4
163336,7
54889,1
227686,2
174925,4
47056,5
52594,6
173775,2
260757,0
68315,4
169901,0
140527,4
181927,1
193979,3
195948,2
222517,8
157807,0
188602,8
84398,3
3797,5
167202,5
141579,0
111037,1
21163,8
9799,6
118743,4
67492,7
111828,5
82781,0
145516,2
131700,2
212528,8
79135,1
55123,1
240472,4
73155,5
7575,4
83850,6
59093,4
133934,0
125238,4
212674,8
274976,3
49883,4
48560,2
169778,0
235570,5
4606,5
205133,7
263718,6
281976,7
158144,6
182664,5
20524,3
77186,6
193100,0
114475,0
290713,8
275409,1
115229,6
32545,7
256137,3
214899,4
54703,1
205754,4
64553,5
260960,0
72265,1
115071,6
269406,4
84211,3
290204,6
292027,2
225602,8
186830,6
131750,2
184508,7
264652,8
132255,7
184186,2
207437,8
293578,3
58222,7
174972,4
80023,5
1174,8
113310,7
78081,3
71144,8
241565,3
73073,5
163575,4
271068,5
186721,0
234425,3
159654,8
22568,1
271154,5
290051,0
77587,3
217846,7
193561,6
72097,1
196672,4
181085,8
158642,3
125903,0
63908,1
272634,3
279435,4
38745,5
197677,6
181700,8
297089,2
